S.no,Review
519,Love it -- the best.  My experience with refurbished devices is excellent.
520,Love the echo dot
521,"This refurbished item was fine,but I wasn't aware that there is a fee for having other echos set up in the rooms.  However, it was missing the cordThank you"
522,"Two weeks after setting it up it no longer works.  No connection, no light, no sound.  I guess I shouldn't have purchased a refurbished Dot."
523,It worked like a brandnew unit! Great addition to my collection.
524,"Great price, works perfectly. Saved the money on a refurb!! Would buy again!"
525, 
526,Very.god
527,Not good at all!
528,These are great. I bought one and then bought another right away. Grab a few of these and a few smart switched and you're set with smart home capabilities for under $150. Highly recommended.
529,Just like new
530,"Worked as it should, still need to figure out how to link to other devices though, only set up Sonos which was pretty easy. Not the products fault, just have not had time to figure it out."
531,Very useful
532,"This is the worst Amazon purchase I have made. I am big Amazon fan...love the brand...unlimited digital music...prime videos...even buy my online games, music, and movies through Amazon. This app I have tried to use it make simple purchases -- to do anything. It is useless."
533,"Works very well, but the microphone don&#34;t pick up as well as the full size echo.  Audio quality is okay for the size."
534,I bought two refurbished ones for work and home. They both work perfectly and appear brand new
535,Amazon doesn't disappoint.
536,Works great as a BT receiver with output connected to vintage stereo equipment.
537,"Working great this far.  Can't tell it's not new.  Will edit for longevity in a year, that's the real test."
538,Amazing
539,i love everything
540,"This used “dot” works fine, it compliments my Echo."
541,Works like a new one.  Can tell the difference from the new one I bough and the refurbished one.
542,Well I’m a big fan of echoes these ones went I’m my bathrooms.  Works just great as expected 👍🏾
543,Purchased for my 83 year old mother-she loves talking to Alexa! Very responsive-can detect its “name” from all over the room.
544,This is just like new -- same performance as our brand new one; no problems.
545,The echo dot disconnects from the speaker about 12-20 times a day. Do not buy the refurbished product.  2 stars for effort.
546,Love it.  Great product
547,it works good.  very satisfied
548,"I love Alexa, but the sound on the dot is not the best. I own an echo 2nd gen for the kitchen/living room and got this for my bedroom, but there’s a SIGNIFICANT difference in sound. The dot lacks a full base sound and sounds as if it’s coming off a cheap portable speaker. I was REALLY disappointed. I returned it right away and just shelled out the money to buy a second echo 2 for my bedroom also."
549,"Took me awhile to get it connected. I'm not electronically savy but now that it is, I love it."
550,cant seem to get this thing to sink with my wireless not sure If I will be returning it will try one more time.
551,Absolutely love it!
552,product stopped working after return time ran out
553,Second Dot work great for refurbishedThought it was new
554,Love these guys they work so great
555,"I love this as a second &#34;Alexa&#34; in our bedroom.  Great for checking weather, for meditation music, and as a timer - Perfect for my husband who has to use eye drops multiple times each day and keep his eyes closed for 5 minutes."
556,I purchased this refurbished.  Works just like brand new.  3 minute set up. Very easy.  Now I have echo dot that I can command to start playing music for my backyard deck sound system.
557,Not substitute for the original.  The echo dot performs well but sound quality is poor.  To listen it has to be at the highest level 10.
558,Love the Echo Dot. Helps husband get Netflix and other apps on our Amazon Fire TV.  No problems with it being refurbished. Planning on getting another one for the Amazon Fire Stick in bedroom.
559,"Stopped working after 7 months. The warranty was only good for 3 months. I would have assumed an amazon product sold on amazon would have had higher standards than guaranteeing that it would work for 3 whole months. I mean what is this product supposed to be, a piece of junk?They offered my a 15% discount if I wanted to buy another one. Why would I want to buy another one?"
560,"Just like new. No problems whatsoever, Alexa. Thank you."
561,I like my uncle. But sometime it goes a little Haywire
562,Bought this for my son and it didn’t work. He had to return it.
563,Bought 2 and both quit connecting to wifi and responding to voice within 9 months. Hard and soft reset will not fix the problem.
564,"I received my Echo Dot today in good condition, but be advised: I paid $29.99 for it and Amazon has (as of this writing) raised the price to $39.99, so do your research before buying so you can get a good deal!Set up with the Dot went simple enough — plug it in, follow the app instructions... except initially it took a while to actually show up in my iPhone’s WiFi settings. I called Amazon customer service, and I dunno what it is, but lately I’ve been getting terrible support. The guy that took my call just rambled off a (completely unhelpful) script and I ended up setting up the Dot while he was in the middle of his spiel.I’m not sure if this is the norm or if it’s because this is refurbished, but the Dot has a pretty finicky wifi range and randomly disconnects even though the app shows that the range of my 5GHz connection is strong. Reconnecting is a pain each time as well.All that said, when Alexa works, she works amazingly well. I don’t have a speaker hooked up to it, but one thing I really enjoy is the mic’s range and sensitivity. One of the more annoying limitations of Apple’s Siri is that when she’s playing audio through device speakers (music, podcasts, etc), the “Hey Siri” feature is all but useless. Alexa has no problem hearing me over whatever is playing at the time, and with amazingly fast responsiveness too. I haven’t tried this with louder speakers yet, so I’m not sure if this will continue to hold true.Setting up Alexa to control all my wireless devices was a breeze, albeit with limitations — support for Arlo devices is nil, and if you have special settings for your LED devices (eg. rainbow effects), Alexa can’t handle them, she only knows how to change solid colors and brightness levels.All in all, my rating would’ve been lower had I not gotten a decent price on this item. If the connectivity problems persist, I may have to exchange/return this item. I don’t want to though — Alexa’s kind of growing on me."
565,I bought it because everyone was saying how much they love theirs. But I have no need for it. I only used it once. The volume was not loud enough for me when I played music while I was on my treadmill. So I rather use my tower speaker which is 3xs louder.
566,Worked like new.  Will do it again.
567,The second one which was a refurbished model did work-at least not in my home.
568,"Very bad this device, I don’t know if it’s because is refurbished or what but it activated by itself , nobody is talking and he just activated and start talking. When you talk you have to yell super lauded"
569,Good as new!! Just like brand new! Save yourself some money. Get one!
570,Adding more rooms for convenience
571,"Nice. It works good.Some times is not easy to recognize your voice and you have to repeat several times, some time almost screaming."
572,"I took a chance on a certified refurbished unit for $29. Looks brand new...no excuses or disappointments. 5 minute trouble-free set up! Effortless bluetooth speaker connectivity through the Alexa App on my iPhone was flawless. Listening to my favorite tunes through a Bose Bluetooth setup and couldn't be happier. Walk through the door and just ask Alexa to: &#34;Play 80's music&#34; and viola... instant atmosphere! No more opening the iPad, going to settings, turning on bluetooth and then accessing the Pandora app. It just makes things so effortless. A true joy right out of the box! If I didn't discover any other uses for this fine piece of technology it was worth every penny!"
573,Alexa's sister (my second dot)
574,"Love my Alexa Echo Dot - I have two of them now - one new, one refurbished.  Both work great and it has become my go to for sooo many things.  I love it as an alarm every morning or whenever.  I love it to play music or sounds of the ocean, or nature sounds when I am trying to sleep.  Just love it for so many things."
575,"Bought a refurb, and its works just as my new ones I bought prior! Came in original packaging as well!"
576,Love it. It's like having a second wife.
577,So far not impressed at all. Does not save groups correctly can not understand me most of the time I'm not sure what the excitement is all about. Alexas voice sounds like it's under water how am I supposed to understand!!!!I'm going to return and try a google home!!!
578,Works well and has no obvious issues from being refurbished.
579,"Works great, can't tell it was refurbished and set up in kids mode.  I have 3 in my home and will be adding more. I love these things."
580,"great product, but useless overall. Too many unnecessary features. Unless you have a smart home you don't need it"
581,Worked just as good as the two new Echo Dots i preciously purchases.
582,I bought this for my mother and she is in love with it.She loves the guard dog feature.She says that it gives her a sense of security at night and when she leaves the house
583,I bought it mainly to be a speaker when playing music or videos on my phone. Not working for me. Read instructions but not working for me.
584,It works
585,"Bought two of them and both work great. I'm not much on electronics running my home, but Alexa does all that I want and need to be done."
586,2nd one... more to come
587,Blue light blinks all the time
588,Fun and useful. We're still learning new tricks and useful functionalities. This is the future of human to computer interface and household automation. Just like Star Trek! Who knew it would be here so soon?
589,"Works great to control the TV lights and various other devices. Lately I've been using it when i wake up and don't know what time it is but don't want to open my eyes. Just shout out &#34;Alexa, What time is it?&#34; if i could just figure out how to get it to do house hold chores and walk the dogs it'd be golden! sound is not that great but with its size what can you expect. The Echo Plus has much better audio but that is what you get with the larger more expensive Echo."
590,Works great!
591,Wasn't sure if I'd like this product but after having it for a little while I want one in every room! My daughter is constantly asking alexa how to spell words. We've barely tapped into all the things this product is capable of and I'm looking forward to learning all of its capabilities!
592,A++++
593,Great product. Works well
594,Absolutly love it !
595,Bought my first echo dot and loved it so I got this for work. Absolutely love it!
596,works as promised
597,Works great with my existing smart home setup.
598,Perfect. Could not tell the difference from a new one.
599,I cant figure out how to use it.
600,Good sometimes can’t hear well
601,"I was a little apprehensive about buying a refurbished electronic product, but with Amazon's guarantee, thought I would try it. Glad I did, and will probably buy another refurb product form Amazon. I love the Alexa products and have several. This one sits on my desk. Has a small footprint, but has great sound and I use it daily. Works great."
602,Not bad bad speaker for sound
603,"This is a great device. We mainly use it to verbally add things to the shopping list, but occasionally use any number of the &#34;fun&#34; things you can program it to do, like go to Red Alert or make the TARDIS land (yes, we're a house of geeks... we even chose the wake-word to be &#34;Computer&#34; instead of &#34;Alexa&#34;. Now we just need Majel Barret's voice and I will be in geek heaven.) ;)It's not as easy to get my Premium Spotify to work properly with it, and still not sure how we can get multiple music accounts attached so we can listen to different music in different rooms, but so far it's still been worth it. I am often asking it the time, the weather, it even gives us a news briefing. We also use it as an intercom system which has been really awesome. Plus it's fun knowing the NSA is listening to everything."
604,We all love her!
605,I purchased this for my daughter and we all love this!!!! its amazing!! we love the games!
606,It doesn’t always  work
607,Good as new! Perfectly packaged and I have had zero issues with the dot.
608,Love it! Bought for my granddaughter who is 3 for her to play music and ask questions. She is entertained for hours! Good buy in my honest opinion!
609,No issues...works and looks great!!!
610,This is a fun toy.  My daughter have me it.  It reads to me!
611,"Refurbish Echo Dot received as new condition, as new packaging, no complaints. Neat little gadget.(Drives my wife nuts!)"
612,"I received an Echo as a gift, loved it so much I decided to get the Dot for my bedroom. Both very easy to set up but a big difference in the sound quality. I would still buy it again."
613,Worked as advertised. Thanks
614,All the new Amazon products I have are great everything I bought refurbished is complete garbage. I will never purchase Amazon refurbished again total dissatisfaction
615,Works good.  Microphone is not as good as the better Echo products
616,Took a little work to set up but I finally got it.  Sound quality not the best but for what I got it for it works great.  I check weather and ask a few cooking questions in the kitchen with it.  I do play the radio on it when I want some music but will probably upgrade to the Echo plus for better sound.
617,Love Alexa these are the best thing I have ever bought don't know how I ever lived with out these things amazing so happy with this product just wish it would use google to
618,I loved it it works great
619,Extremely low in volume
620,"I had some trouble getting the program downloaded from my phone. I ended up using my computer. It is interesting that the answers come from Wikipedia. However, I will give Echo dot an &#34;A&#34; in the music playing department. I heard songs and music totally forgotten on the mainstream stations. Also amusing when Alexa responds, I don't know that. Why does she think the yards of cotton fabric refer to football playing???? If I had paid full price for this gadget I would have been sorely disappointed. Now it seems reasonable and a step above HAL."
621,"Brought to replace one that I moved and doesn't have the same range as my previous (non refurbished) unit. It would seldom be able to find the Wi-Fi and couldn't connect. Got tired of hearing the message (&#34;trouble connecting...check the Alexa app...&#34;) and just unplugged it. I went through the troubleshooting and reconnected it several times, it's just not as strong."
622,"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??"
623,"Purchased as a gift,"
624,Love it
625,"Overall good device. It was bought for a workout room, and has issues reaching a volume that can be heard over a standard row machine. It could use a much better speaker."
626,Works great and simple to set up. Alexa is way more accurate than I imagined so Im using it more than I thought. Wish alarms could be set a bit further out but thats my only complaint.No she's not listening when you don't say the wake word so if you're worried you can lose the conspiracy theories. The speaker is great too so don't hold off on getting one if you were turned off by gen 1 like me.
627,The voice clarity has made my eavesdropping efforts so much easier - the government. :)
628,Worked perfect
629,"Had a little trouble at the beginning until I replaced my old router and it works good except for current temperature and at times Alexa will be off by as much as 10 degrees!  Like when it was 91 degrees, Alexa would say it was 81 degrees.  Otherwise, everything works as expected and enjoy listening to music from Amazon and my Pandora stations and requesting my favorite song or recording artist."
630,I bought three of these and all three have worked flawlessly. If they weren't labeled as refurbished I wouldn't have known
631,"This device works perfectly and was a good price.  We love Alexa and are having great fun with her.  The music is great and we get the radio stations we need for our morning traffic report.  I didn’t think I would enjoy having AI in the house, but it is fun, educational and entertaining even for people who aren’t tech savvy."
632,Eh. It’s works on and off. Half the time it does not respond when you say wake up name. Other then that works fine
633,Great little thing. Works better than siri.
634,It’s amazing I love it
635,Bought this for my son and he loves it.
636,"I own the first and second generation Echo Dot.  I think I prefer the volume ring of the first gen better than the buttons on the second gen, but still more than does the job and great for the price I got it for.  I'd still definitely recommend."
637,Very fun to use and having morning briefing
638,Arrived on time and works amazing!!!
639,"Just like new, set-up was quick & easy."
640,"like new, good refurbishing"
641,Love it
642,Love my echo dot!!!
643,I like that it knows my music type.The least is that it isn't wireless and the volume is not that high.
644,great product!
645,"It works great, but the reason I'm leaving 3 stars is because it wont play unless it plugged in the whole time. Pretty irritating especially when there is no outlet available."
646,Works great!
647,I love it ita like having a personal assistant and computer and everything else in one.
648,"The problem I have with this item could just be my inexperience. I ordered the wrong thing, but then decided I’d set it up and use Alexa. I was trying to replace a small Bluetooth speaker in my bedroom. Thought I could learn as I go. I downloaded the app, but never could get the Echo to sync with my iPhone. I’ve decided to give this to one of my kids and they will probably enjoy it and use it as it is intended."
649,Es perfecto.
650,Working good so far.
651,Working great and my daughter loves it!
652,Works great
653,I love it
654,"I wanted a white dot for my white bathroom.  The top is black as shown, which I knew, but I did not realize the cord and plug were also black. I wanted a white cord and plug."
655, 
656,WORKS GREAT
657,Amazing!
658,Great product
659,Works perfectly
660,Perfect
661,I set up the Echo Dot and it worked for an hour and then died completely. DO NOT BUY refurbished!!!! I sent back for return the day after I received.
662,This Echo Dot is horrible. The volume on my phone is louder than than this device. My boss has one at this is not the case
663,Overall it works very well. Some connectivity issues but it was definitely worth the money!
664,Have had no issues with this refurbished unit. It performed expected. I would buy another one if needed.
665,Great for mom its inside an owlhead in her jacuzzi
666,Works great - I put this in my son's room and use the drop in option to get his attention when he is gaming or watching tv.
667,It was perfect
668,It looked brand nrw!! I have nothing to.complain about!! I will defently be ordering more
669,It's ok. The speaker is pretty terrible. Google home is a better product.
670,I love it!
671,"I love this, answers all my stupid questions and tells me the weather for when I don’t get off the couch"
672,The first one quit working shortly after I got it. The next one becomes unresponsive to my voice at times and the only way to get it to work is through the app. I am not sure if it just this Dot or they are all this way.
673,Bought this to go in my niece's room. You can't tell it's refurbished. It looks good and works like new.
674,Device was not working. Followed all instructions for Alexa echo dot and it did not come on. Very upsetting.
675,Sent it back due to crackling noise and turning itself off and on - but what can you expect with a refurbished item?
676,Best price we could find and it is so useful to have her around to answer questions. It is so handy to not have to find your phone. I also now have an intercom system.
677,I have never been more satisfied with a product. Perfect introduction to Alexa.
678,"Works well, but the speaker is not so grand. Getting another speaker to drop this into. In the future I would have just gone with the full size echo."
679,Love our echo! Thing the full size version sounds better though.
680,Works great!
681,It has all I need for my life plans time date music
682,Seems to have trouble hearing me when I say the wake word despite being trained to my voice... Wonder if this has something to do with buying it refurbished. Our google home mini has no problems hearing us 😬 and is much louder.
683,Love it!  Works perfectly!
684,I had a brand new echo Dot and thought that the refurbished would be just as good. It was quite different from my expectations. Refurbished unit did not even turn on and after a while I realized that the power adapter was faulty. There is no way for me to have Amazon send me a power adapter by itself according to the return options. I love Amazon and buy even my toilet paper through them but this was truly a let down.Update: Amazon contacted me and credited me enough to buy a new power adapter. This is why I shop on Amazon. I can always trust them to deliver on their products.
685,I bought this for a family member as a gift. I called her to see how she likes it & she said she loves it‼️
686,"Not very loud but quality and ease of use is great. Sound is perfect for background music, would suggest 2-or more connected together if you’re trying to use for hosting a louder party"
687,Looked Brand new works great. I love these echo dots and the refurbished ones are like new
688,My 2nd one and I use them all the time.
689,"Is working like a  new one for now, l have another 3 alexa devices lm a fanatic"
690,Echo is good.
691,Works great
692,Great price to extend the range and super value to dot offers. Hooked up wireless speaker to use working outside.This dot made outdoor sound range possible without disturbing indoor light control possible
693,"Amazingly fun. My daughter and I just asked questions on the first day. I have now set my daily alarm, weekend reminder, playlist, morning shows, random songs, daily bible verses, weather, and morning commute. It tells me which way to go dodging traffic. You have to get one. I don’t have it linked to my phone yet."
694,Works perfect! There’s no difference at all between this refurb one and my new ones that I have in my house. I’ll be buying the refurbs from here on out
695,Great product. Wakes me up every morning on time!
696,Like new.  No difference from new unused original.
697,"I have no complaints. As far as I know, these are exactly like new, just a little cheaper. Great!"
698,Perfect condition!
699,Like new
700,It works just as well as the new version I got as a discount with my Echo speaker. I decided to purchase this version because Amazon states it has the same warranty.
701,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do."
702,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet."
703,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.
704,looks great
705,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!"
706,"I sent it to my 85 year old Dad, and he talks to it constantly."
707,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times
708,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!"
709,"Love, Love, Love!!"
710,Just what I expected....
711,"I love it, wife hates it."
712,Really happy with this purchase.  Great speaker and easy to set up.
713,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.
714,We love the size of the 2nd generation echo. Still needs a little improvement on sound
715,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)"
716,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.
717,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying."
718,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at."
719,I love it. It plays my sleep sounds immediately when I ask
720,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation."
721,Amazing product
722,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge."
723,Sounds great!! Love them!
724,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better."
725,Just like the other one
726,Still learning all the capabilities...but so far pretty pretty pretty good
727,I like it
728,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great"
729,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.
730,This device is awesome!
731,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.
732,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube."
733,Speaker is better than 1st generation Echo
734,"This thing is way cool!  You should get one.  If you want to be cool, that is."
735,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!"
736,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities
737,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running."
738,So far so good
739,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.
740,Great
741,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.
742,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals."
743,Love my Echo. Still learning how every thing works but having tons of fun.
744,I love you so much
745,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .
746,"Excelente, lo unico es que no esta en español."
747,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting."
748,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.
749,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.
750,like google better
751,Just had to have it and now lets play and learn how to get the most out of it.
752,Works as advertised. Very easy to setup. Still learning what this can do.
753,Great sound and easy to set up.
754,"Love Alexa, bought others for friends"
755,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs
756,😍
757,Love being able to listen to music easily. Still learning all the features available
758,"Did t really know what I could use this device for. Used it for a few things, but need an overview"
759,Love this just wish it had a built in hub
760,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!
761,How easy if was to set up.
762,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.
763,You’re all I need...na na nana!
764,Does everything as expected and more.
765,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good."
766,Great sound in a small package—easy to set up and use; fun to own.
767,Works and sounds great.
768,The sound is amazing and many collections of all music
769,Setting up
770,She doesn’t always listen
771,It’s awesome
772,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located."
773,The speaker has excellent sound and works perfectly!
774,I LIKE IT ALL
775,I love it. It does everything
776,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!
777,I like it and still learning how to use it.
778,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!
779,"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!"
780,Works fine!!
781, 
782,Clear music
783,"Fun to use, good sound quality"
784,The echo works well. I was able to sync it with my other Amazon music devices.
785,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo."
786,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!
787,The speaker sounds really good
788,Good sound works well
789,Love it and Alexa. I am not very savvy but support was very helpful and patient.
790,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music."
791,"We like it all so far, but have a lot to try out yet."
792,Love it - am using it strictly for music now and it's great!
793,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc."
794,Love it!
795,The entire family loves Alexa Echo. She’s now a part of this family.
796,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more"
797,Love it!
798,"awesome thing, love Alexa"
799,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!
800,"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!"
801,The speaker is of surprising quality. Happy with the purchase.
802,Very easy to set up. Works wonderful and I love it!!
803,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.
804,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better."
805,The outlet does not work with it. Was disappointed in that.
806,"Great device, responsive and helpful"
807,Sound is terrible if u want good music too get a bose
808,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that."
809,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.
810,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.
811,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product."
812,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!"
813,It's Alexa.... what else can you say
814,Upgraded from my lilttle echo dot. Happy with sound
815,"Excellent product, set up with ease as well."
816,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.
817,I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.
818,wonderful product and fast delivery!
819,Initially harder to set up called tech wasn’t that knowledgeable now working great.
820,It was very easy to set up and my family love it’s!
821,Has great sound and is very responsive my voice and commands.
822,How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .
823,Very cool product. Speaker sounds good with my Spotify blasting through it.
824,Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.
825,"So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well."
826,Love our echo
827,"I love it,she is very helpful. I use her for remembering things and sleep. You can ask her just about anything. I have only had her for about a week so still learning her."
828,"It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it."
829,I love having an Alexa!
830,So far I like it 🤓
831,I am thoroughly enjoying my Ecoo!  Love to have it read my audiobook to me while in the office and then I can simply open the audiobook on my kindle to continue it when elsewhere. Wonderful for listening to music when not in the mood for a book. Great for setting reminders for myself too and so much more.
832,Still love it
833,Love it
834,"I love the sound quality of this unit, it is a very clear sound."
835,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.
836,"I have had for only a week, so I am still learning all that Alexa can do.  It is a learning process.  I love the music I can call up any time.  I listen to podcasts and radio stations.  I have just started keeping shopping lists and grocery lists, which I love.  I don’t have to search for paper and pencil.  Getting time and temperature are great, do not have to wait for weather reports.  The sound is good.  I am not fussy about woofers, tweeters, base , etc.  the Echo is fine for me.  This afternoon I am going to try “dropping in”.on my son when he gets home.  Going to surprise him."
837,Not much features.
838,"Great sound quality, great features, great product. Multi room music is very cool."
839,Cool
840,Everyone should have an Echo or two or three or more. I bought my Echo through QVC.
841,it's annoying that everything they show Alexa as being able to do has to be downloaded. You spend so  much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself
